Customer ID,Churn Date,Plan Name,Plan Amount ($),Churn Reason
5c000bdd62d5bcb1d033b15f,Sep 10 '21,Buffer Analyze - Full Price 10 Social Channels,50,others
5c374d855542492009f39fc2,Aug 18 '21,Pro8 v1 - Monthly,15,not-using-anymore
5c374d885542492009f3a30e,Oct 08 '21,Pro8 v1 - Monthly,15,not-using-anymore
5c374d895542492009f3a485,Jul 20 '21,Small Business v2 - Monthly,99,others
5c374d8f5542492009f3acf0,Nov 05 '21,Pro8 v1 - Yearly,144,not-using-anymore
5c374d925542492009f3b01e,Aug 05 '21,Pro8 v1 - Yearly,144,not-using-anymore
5c374d975542492009f3b779,Sep 03 '21,Pro8 v1 - Monthly,15,not-using-anymore
5c374d9c5542492009f3bda3,Sep 06 '21,Pro8 v1 - Yearly,144,not-using-anymore
5c374d9f5542492009f3c29a,Sep 12 '21,Pro8 v1 - Monthly,15,extenuating-circumstances
5c374da65542492009f3cbc7,Aug 22 '21,Pro8 v1 - Monthly,15,others
5c374daa5542492009f3d144,Sep 07 '21,Pro8 v1 - Monthly,15,not-using-anymore
5c374db85542492009f3e4c8,Dec 15 '21,Pro8 v1 - Monthly,15,not-using-anymore
5c374dbf5542492009f3eeb7,Aug 29 '21,Pro8 v1 - Monthly,15,others
5c374dc45542492009f3f452,Jul 21 '21,Pro8 v1 - Monthly,15,missing-features
5c374dc65542492009f3f789,Aug 24 '21,Pro8 v1 - Monthly,15,bugs
5c374dd55542492009f40bc4,Jul 24 '21,Pro8 v1 - Yearly,144,not-using-anymore
5c374dd75542492009f40e2b,Jul 02 '21,Pro8 v1 - Monthly,15,too-expensive
5c374dd85542492009f40f99,Sep 07 '21,Premium Business v1 - Yearly,663,too-expensive
5c7fe31b3425707f05a612d1,Aug 21 '21,Pro8 v1 - Monthly,15,too-expensive
5c8de6297214d9738e4dcd27,Aug 17 '21,Pro8 v1 - Monthly,15,extenuating-circumstances
5ca1d1ed30113038c6fadad6,Sep 16 '21,Pro8 v1 - Monthly,15,not-using-anymore
5ca1d1f030113038c6fafb2a,Sep 14 '21,Pro8 v1 - Monthly,15,bugs
5ca1d1f330113038c6fb11b3,Dec 25 '21,Pro8 v1 - Monthly,15,not-using-anymore
5ca1d1f61d99bc38dbee16e2,Sep 02 '21,Pro8 v1 - Monthly,15,not-using-anymore
5ca1d1f730113038c6fb242e,Oct 07 '21,Pro8 v1 - Monthly,15,others
5ca1d1f930113038c6fb2d14,Oct 10 '21,Pro8 v1 - Yearly,144,not-using-anymore
5ca1d1fa30113038c6fb2f17,Oct 28 '21,Pro8 v1 - Yearly,144,not-using-anymore
5ca1d1fd1d99bc38dbee2c28,Nov 07 '21,Pro8 v1 - Yearly,144,not-using-anymore
5ca1d20269ec79395e76377a,Oct 04 '21,Pro8 v1 - Monthly,15,not-using-anymore
5ca1d20369ec79395e763a32,Dec 04 '21,Pro8 v1 - Monthly,15,not-using-anymore
5ca1d20530113038c6fb4706,Sep 03 '21,Pro8 v1 - Yearly,144,too-expensive
5ca1d2137ace10391ade8b77,Sep 11 '21,Premium Business v1 - Monthly,65,too-expensive
5ca1d21869ec79395e765ce1,Dec 01 '21,Pro8 v1 - Monthly,15,not-using-anymore
5ca1d21b30113038c6fb6de7,Nov 11 '21,Pro8 v1 - Monthly,15,not-using-anymore
5ca1d21b905a7a39498311ce,Aug 22 '21,Pro8 v1 - Monthly,15,extenuating-circumstances
5ca1d21c30113038c6fb7456,Sep 20 '21,Pro8 v1 - Monthly,15,not-using-anymore
5ca1d21dfd16da398241c551,Nov 12 '21,Pro8 v1 - Yearly,144,others
5ca1d2251d99bc38dbee76cc,Dec 12 '21,Small Business v2 - Monthly,99,not-using-anymore
5ca1d22569ec79395e766f3b,Jul 11 '21,Small Business v2 - Yearly,">= 1,000",not-using-anymore
5ca1d226905a7a394983264d,Sep 07 '21,Pro8 v1 - Monthly,15,not-using-anymore
5ca1d227fd16da398241d906,Oct 19 '21,Pro8 v1 - Monthly,15,others
5ca1d22a69ec79395e7679a9,Nov 30 '21,Pro8 v1 - Monthly,15,not-using-anymore
5ca1d22d1d99bc38dbee7f59,Sep 19 '21,Pro8 v1 - Monthly,15,extenuating-circumstances
5ca1d235fd16da398241efbb,Aug 19 '21,Pro8 v1 - Monthly,15,extenuating-circumstances
5ca1d2371d99bc38dbee9378,Jul 16 '21,Pro8 v1 - Monthly,15,not-using-anymore
5ca1d23c69ec79395e7699a9,Oct 14 '21,Pro8 v1 - Monthly,15,missing-features
5ca1d23c7ace10391aded5e4,Jul 19 '21,Pro8 v1 - Monthly,15,others
5ca1d23c905a7a3949834d84,Sep 16 '21,Premium Business v1 - Monthly,65,others
5ca1d24169ec79395e76a009,Oct 26 '21,Pro8 v1 - Yearly,144,not-using-anymore
5ca1d241fd16da398242063d,Aug 07 '21,Pro8 v1 - Yearly,144,not-using-anymore
5ca1d24569ec79395e76aab0,Nov 27 '21,Small Business v2 - Monthly,99,not-using-anymore
